gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Maths - Reading Calc,,x.bar is average,,180817,229689,212957,,
male,group B,bachelor's degree,free/reduced,completed,87,90,88,,79,72,12.9,2.9,37.41,166.41,8.41,,
female,group B,associate's degree,standard,none,40,48,50,,79,76,12.9,6.9,89.01,166.41,47.61,,
male,group D,some college,free/reduced,none,77,62,64,,87,90,20.9,20.9,436.81,436.81,436.81,,
male,group E,associate's degree,standard,none,53,45,40,,40,48,-26.1,-21.1,550.71,681.21,445.21,,
female,group C,some college,free/reduced,none,32,39,33,,77,62,10.9,-7.1,-77.39,118.81,50.41,,
female,group C,associate's degree,standard,completed,55,72,79,,53,45,-13.1,-24.1,315.71,171.61,580.81,,
male,group C,master's degree,free/reduced,none,61,67,66,,32,39,-34.1,-30.1,1026.41,1162.81,906.01,,
female,group B,associate's degree,free/reduced,none,53,70,70,,55,72,-11.1,2.9,-32.19,123.21,8.41,,
male,group D,some high school,standard,none,73,66,62,,61,67,-5.1,-2.1,10.71,26.01,4.41,,
female,group D,some college,standard,completed,74,75,79,,53,70,-13.1,0.9,-11.79,171.61,0.81,,
female,group C,some college,standard,none,63,74,74,,73,66,6.9,-3.1,-21.39,47.61,9.61,,
male,group C,bachelor's degree,standard,completed,96,90,92,,74,75,7.9,5.9,46.61,62.41,34.81,,
female,group D,some college,free/reduced,completed,63,80,80,,63,74,-3.1,4.9,-15.19,9.61,24.01,,
male,group B,bachelor's degree,free/reduced,none,48,51,46,,96,90,29.9,20.9,624.91,894.01,436.81,,
male,group B,associate's degree,standard,none,48,43,45,,63,80,-3.1,10.9,-33.79,9.61,118.81,,
female,group E,bachelor's degree,free/reduced,completed,92,100,100,,48,51,-18.1,-18.1,327.61,327.61,327.61,,
female,group D,master's degree,free/reduced,completed,61,71,78,,48,43,-18.1,-26.1,472.41,327.61,681.21,,
male,group B,high school,free/reduced,none,63,48,47,,92,100,25.9,30.9,800.31,670.81,954.81,,
male,group D,bachelor's degree,free/reduced,none,68,68,67,,61,71,-5.1,1.9,-9.69,26.01,3.61,,
male,group B,some college,standard,completed,71,75,70,,63,48,-3.1,-21.1,65.41,9.61,445.21,,
male,group A,bachelor's degree,standard,none,91,96,92,,68,68,1.9,-1.1,-2.09,3.61,1.21,,
female,group C,some college,standard,none,53,62,56,,71,75,4.9,5.9,28.91,24.01,34.81,,
female,group C,high school,free/reduced,completed,50,66,64,,91,96,24.9,26.9,669.81,620.01,723.61,,
female,group E,high school,standard,none,74,81,71,,53,62,-13.1,-7.1,93.01,171.61,50.41,,
male,group A,associate's degree,free/reduced,completed,40,55,53,,50,66,-16.1,-3.1,49.91,259.21,9.61,,
male,group A,some college,standard,completed,61,51,52,,74,81,7.9,11.9,94.01,62.41,141.61,,
female,group B,high school,standard,none,81,91,89,,40,55,-26.1,-14.1,368.01,681.21,198.81,,
female,group B,some college,free/reduced,completed,48,56,58,,61,51,-5.1,-18.1,92.31,26.01,327.61,,
female,group D,master's degree,standard,none,53,61,68,,81,91,14.9,21.9,326.31,222.01,479.61,,
female,group D,some high school,standard,none,81,97,96,,48,56,-18.1,-13.1,237.11,327.61,171.61,,
female,group E,some high school,standard,none,77,79,80,,53,61,-13.1,-8.1,106.11,171.61,65.61,,
female,group D,bachelor's degree,free/reduced,none,63,73,78,,81,97,14.9,27.9,415.71,222.01,778.41,,
female,group D,associate's degree,standard,completed,73,75,80,,77,79,10.9,9.9,107.91,118.81,98.01,,
female,group D,some college,standard,none,69,77,77,,63,73,-3.1,3.9,-12.09,9.61,15.21,,
female,group C,associate's degree,standard,none,65,76,76,,73,75,6.9,5.9,40.71,47.61,34.81,,
female,group A,high school,standard,none,55,73,73,,69,77,2.9,7.9,22.91,8.41,62.41,,
female,group C,bachelor's degree,free/reduced,none,44,63,62,,65,76,-1.1,6.9,-7.59,1.21,47.61,,
female,group C,some college,standard,none,54,64,65,,55,73,-11.1,3.9,-43.29,123.21,15.21,,
female,group A,some high school,standard,none,48,66,65,,44,63,-22.1,-6.1,134.81,488.41,37.21,,
male,group C,some college,free/reduced,none,58,57,54,,54,64,-12.1,-5.1,61.71,146.41,26.01,,
male,group A,some high school,standard,none,71,62,50,,48,66,-18.1,-3.1,56.11,327.61,9.61,,
male,group E,bachelor's degree,standard,none,68,68,64,,58,57,-8.1,-12.1,98.01,65.61,146.41,,
female,group E,high school,standard,none,74,76,73,,71,62,4.9,-7.1,-34.79,24.01,50.41,,
female,group C,bachelor's degree,standard,completed,92,100,99,,68,68,1.9,-1.1,-2.09,3.61,1.21,,
female,group C,bachelor's degree,standard,completed,56,79,72,,74,76,7.9,6.9,54.51,62.41,47.61,,
male,group B,high school,free/reduced,none,30,24,15,,92,100,25.9,30.9,800.31,670.81,954.81,,
male,group A,some high school,standard,none,53,54,48,,56,79,-10.1,9.9,-99.99,102.01,98.01,,
female,group D,high school,standard,none,69,77,73,,30,24,-36.1,-45.1,1628.11,1303.21,2034.01,,
female,group D,some high school,standard,none,65,82,81,,53,54,-13.1,-15.1,197.81,171.61,228.01,,
female,group D,master's degree,standard,none,54,60,63,,69,77,2.9,7.9,22.91,8.41,62.41,,
female,group C,high school,standard,none,29,29,30,,65,82,-1.1,12.9,-14.19,1.21,166.41,,
female,group E,some college,standard,none,76,78,80,,54,60,-12.1,-9.1,110.11,146.41,82.81,,
male,group D,high school,free/reduced,none,60,57,51,,29,29,-37.1,-40.1,1487.71,1376.41,1608.01,,
male,group D,master's degree,free/reduced,completed,84,89,90,,76,78,9.9,8.9,88.11,98.01,79.21,,
male,group C,some high school,standard,none,75,72,62,,60,57,-6.1,-12.1,73.81,37.21,146.41,,
female,group C,associate's degree,standard,none,85,84,82,,84,89,17.9,19.9,356.21,320.41,396.01,,
female,group C,master's degree,free/reduced,none,40,58,54,,75,72,8.9,2.9,25.81,79.21,8.41,,
female,group E,some college,standard,none,61,64,62,,85,84,18.9,14.9,281.61,357.21,222.01,,
female,group B,associate's degree,standard,none,58,63,65,,40,58,-26.1,-11.1,289.71,681.21,123.21,,
male,group D,some college,free/reduced,completed,69,60,63,,61,64,-5.1,-5.1,26.01,26.01,26.01,,
female,group C,some college,standard,none,58,59,66,,58,63,-8.1,-6.1,49.41,65.61,37.21,,
male,group C,bachelor's degree,standard,completed,94,90,91,,69,60,2.9,-9.1,-26.39,8.41,82.81,,
female,group C,associate's degree,standard,none,65,77,74,,58,59,-8.1,-10.1,81.81,65.61,102.01,,
female,group A,associate's degree,standard,none,82,93,93,,94,90,27.9,20.9,583.11,778.41,436.81,,
female,group C,high school,standard,none,60,68,72,,65,77,-1.1,7.9,-8.69,1.21,62.41,,
female,group E,bachelor's degree,standard,none,37,45,38,,82,93,15.9,23.9,380.01,252.81,571.21,,
male,group D,bachelor's degree,standard,none,88,78,83,,60,68,-6.1,-1.1,6.71,37.21,1.21,,
male,group D,master's degree,standard,none,95,81,84,,37,45,-29.1,-24.1,701.31,846.81,580.81,,
male,group C,associate's degree,free/reduced,completed,65,73,68,,88,78,21.9,8.9,194.91,479.61,79.21,,
female,group C,high school,free/reduced,none,35,61,54,,95,81,28.9,11.9,343.91,835.21,141.61,,
male,group B,bachelor's degree,free/reduced,none,62,63,56,,65,73,-1.1,3.9,-4.29,1.21,15.21,,
male,group C,high school,free/reduced,completed,58,51,52,,35,61,-31.1,-8.1,251.91,967.21,65.61,,
male,group A,some college,standard,completed,100,96,86,,62,63,-4.1,-6.1,25.01,16.81,37.21,,
female,group E,bachelor's degree,free/reduced,none,61,58,62,,58,51,-8.1,-18.1,146.61,65.61,327.61,,
male,group D,some college,standard,completed,100,97,99,,100,96,33.9,26.9,911.91,1149.21,723.61,,
male,group B,associate's degree,free/reduced,completed,69,70,63,,61,58,-5.1,-11.1,56.61,26.01,123.21,,
male,group D,associate's degree,standard,none,61,48,46,,100,97,33.9,27.9,945.81,1149.21,778.41,,
male,group D,some college,free/reduced,none,49,57,46,,69,70,2.9,0.9,2.61,8.41,0.81,,
female,group C,some high school,standard,completed,44,51,55,,61,48,-5.1,-21.1,107.61,26.01,445.21,,
male,group D,some college,standard,none,67,64,70,,49,57,-17.1,-12.1,206.91,292.41,146.41,,
male,group B,high school,standard,none,79,60,65,,44,51,-22.1,-18.1,400.01,488.41,327.61,,
female,group B,bachelor's degree,standard,completed,66,74,81,,67,64,0.9,-5.1,-4.59,0.81,26.01,,
female,group C,high school,standard,none,75,88,85,,79,60,12.9,-9.1,-117.39,166.41,82.81,,
male,group D,some high school,standard,none,84,84,80,,66,74,-0.1,4.9,-0.49,0.01,24.01,,
male,group A,high school,standard,none,71,74,64,,75,88,8.9,18.9,168.21,79.21,357.21,,
female,group B,high school,free/reduced,completed,67,80,81,,84,84,17.9,14.9,266.71,320.41,222.01,,
female,group D,some high school,standard,completed,80,92,88,,71,74,4.9,4.9,24.01,24.01,24.01,,
male,group E,some college,standard,none,86,76,74,,67,80,0.9,10.9,9.81,0.81,118.81,,
female,group D,associate's degree,standard,none,76,74,73,,80,92,13.9,22.9,318.31,193.21,524.41,,
male,group D,high school,standard,none,41,52,51,,86,76,19.9,6.9,137.31,396.01,47.61,,
female,group D,associate's degree,free/reduced,completed,74,88,90,,76,74,9.9,4.9,48.51,98.01,24.01,,
female,group B,some high school,free/reduced,none,72,81,79,,41,52,-25.1,-17.1,429.21,630.01,292.41,,
female,group E,high school,standard,completed,74,79,80,,74,88,7.9,18.9,149.31,62.41,357.21,,
male,group B,high school,standard,none,70,65,60,,72,81,5.9,11.9,70.21,34.81,141.61,,
female,group B,bachelor's degree,standard,completed,65,81,81,,74,79,7.9,9.9,78.21,62.41,98.01,,
female,group D,associate's degree,standard,none,59,70,65,,70,65,3.9,-4.1,-15.99,15.21,16.81,,
female,group E,high school,free/reduced,none,64,62,68,,65,81,-1.1,11.9,-13.09,1.21,141.61,,
female,group B,high school,standard,none,50,53,55,,59,70,-7.1,0.9,-6.39,50.41,0.81,,
female,group D,some college,standard,completed,69,79,81,,64,62,-2.1,-7.1,14.91,4.41,50.41,,
male,group C,some high school,free/reduced,completed,51,56,53,,50,53,-16.1,-16.1,259.21,259.21,259.21,,
female,group A,high school,standard,completed,68,80,76,,69,79,2.9,9.9,28.71,8.41,98.01,,
female,group D,some college,standard,completed,85,86,98,,51,56,-15.1,-13.1,197.81,228.01,171.61,,
female,group A,associate's degree,standard,completed,65,70,74,,68,80,1.9,10.9,20.71,3.61,118.81,,
female,group B,some high school,standard,none,73,79,79,,85,86,18.9,16.9,319.41,357.21,285.61,,
female,group B,some college,standard,none,62,67,67,,65,70,-1.1,0.9,-0.99,1.21,0.81,,
male,group C,associate's degree,free/reduced,none,77,67,64,,73,79,6.9,9.9,68.31,47.61,98.01,,
male,group D,some high school,standard,none,69,66,61,,62,67,-4.1,-2.1,8.61,16.81,4.41,,
female,group D,associate's degree,free/reduced,none,43,60,58,,77,67,10.9,-2.1,-22.89,118.81,4.41,,
male,group D,associate's degree,standard,none,90,87,85,,69,66,2.9,-3.1,-8.99,8.41,9.61,,
male,group C,some college,free/reduced,none,74,77,73,,43,60,-23.1,-9.1,210.21,533.61,82.81,,
male,group C,some high school,standard,none,73,66,63,,90,87,23.9,17.9,427.81,571.21,320.41,,
female,group D,some college,free/reduced,none,55,71,69,,74,77,7.9,7.9,62.41,62.41,62.41,,
female,group C,high school,standard,none,65,69,67,,73,66,6.9,-3.1,-21.39,47.61,9.61,,
male,group D,associate's degree,standard,none,80,63,63,,55,71,-11.1,1.9,-21.09,123.21,3.61,,
female,group C,some high school,free/reduced,completed,50,60,60,,65,69,-1.1,-0.1,0.11,1.21,0.01,,
female,group C,some college,free/reduced,completed,63,73,71,,80,63,13.9,-6.1,-84.79,193.21,37.21,,
female,group B,bachelor's degree,free/reduced,none,77,85,87,,50,60,-16.1,-9.1,146.51,259.21,82.81,,
male,group C,some college,standard,none,73,74,61,,63,73,-3.1,3.9,-12.09,9.61,15.21,,
male,group D,associate's degree,standard,completed,81,72,77,,77,85,10.9,15.9,173.31,118.81,252.81,,
female,group C,high school,free/reduced,none,66,76,68,,73,74,6.9,4.9,33.81,47.61,24.01,,
male,group D,associate's degree,free/reduced,none,52,57,50,,81,72,14.9,2.9,43.21,222.01,8.41,,
female,group C,some college,standard,none,69,78,76,,66,76,-0.1,6.9,-0.69,0.01,47.61,,
female,group C,associate's degree,standard,completed,65,84,84,,52,57,-14.1,-12.1,170.61,198.81,146.41,,
female,group D,high school,standard,completed,69,77,78,,69,78,2.9,8.9,25.81,8.41,79.21,,
female,group B,some college,standard,completed,50,64,66,,65,84,-1.1,14.9,-16.39,1.21,222.01,,
female,group E,some college,standard,completed,73,78,76,,69,77,2.9,7.9,22.91,8.41,62.41,,
female,group C,some high school,standard,completed,70,82,76,,50,64,-16.1,-5.1,82.11,259.21,26.01,,
male,group D,associate's degree,free/reduced,none,81,75,78,,73,78,6.9,8.9,61.41,47.61,79.21,,
male,group D,some college,free/reduced,none,63,61,60,,70,82,3.9,12.9,50.31,15.21,166.41,,
female,group D,high school,standard,none,67,72,74,,81,75,14.9,5.9,87.91,222.01,34.81,,
male,group B,high school,standard,none,60,68,60,,63,61,-3.1,-8.1,25.11,9.61,65.61,,
male,group B,high school,standard,none,62,55,54,,67,72,0.9,2.9,2.61,0.81,8.41,,
female,group C,some high school,free/reduced,completed,29,40,44,,60,68,-6.1,-1.1,6.71,37.21,1.21,,
male,group B,some college,standard,completed,62,66,68,,62,55,-4.1,-14.1,57.81,16.81,198.81,,
female,group E,master's degree,standard,completed,94,99,100,,29,40,-37.1,-29.1,1079.61,1376.41,846.81,,
male,group E,some college,standard,completed,85,75,68,,62,66,-4.1,-3.1,12.71,16.81,9.61,,
male,group D,associate's degree,free/reduced,none,77,78,73,,94,99,27.9,29.9,834.21,778.41,894.01,,
male,group A,high school,free/reduced,none,53,58,44,,85,75,18.9,5.9,111.51,357.21,34.81,,
male,group E,some college,free/reduced,none,93,90,83,,77,78,10.9,8.9,97.01,118.81,79.21,,
female,group C,associate's degree,standard,none,49,53,53,,53,58,-13.1,-11.1,145.41,171.61,123.21,,
female,group E,associate's degree,free/reduced,none,73,76,78,,93,90,26.9,20.9,562.21,723.61,436.81,,
female,group C,bachelor's degree,free/reduced,completed,66,74,81,,49,53,-17.1,-16.1,275.31,292.41,259.21,,
female,group D,associate's degree,standard,none,77,77,73,,73,76,6.9,6.9,47.61,47.61,47.61,,
female,group C,some high school,standard,none,49,63,56,,66,74,-0.1,4.9,-0.49,0.01,24.01,,
female,group D,some college,free/reduced,none,79,89,86,,77,77,10.9,7.9,86.11,118.81,62.41,,
female,group C,associate's degree,standard,completed,75,82,90,,49,63,-17.1,-6.1,104.31,292.41,37.21,,
female,group A,bachelor's degree,standard,none,59,72,70,,79,89,12.9,19.9,256.71,166.41,396.01,,
female,group D,associate's degree,standard,completed,57,78,79,,75,82,8.9,12.9,114.81,79.21,166.41,,
male,group C,high school,free/reduced,none,66,66,59,,59,72,-7.1,2.9,-20.59,50.41,8.41,,
female,group E,bachelor's degree,standard,completed,79,81,82,,57,78,-9.1,8.9,-80.99,82.81,79.21,,
female,group B,some high school,standard,none,57,67,72,,66,66,-0.1,-3.1,0.31,0.01,9.61,,
male,group A,bachelor's degree,standard,completed,87,84,87,,79,81,12.9,11.9,153.51,166.41,141.61,,
female,group D,some college,standard,none,63,64,67,,57,67,-9.1,-2.1,19.11,82.81,4.41,,
female,group B,some high school,free/reduced,completed,59,63,64,,87,84,20.9,14.9,311.41,436.81,222.01,,
male,group A,bachelor's degree,free/reduced,none,62,72,65,,63,64,-3.1,-5.1,15.81,9.61,26.01,,
male,group D,high school,standard,none,46,34,36,,59,63,-7.1,-6.1,43.31,50.41,37.21,,
male,group C,some college,standard,none,66,59,52,,62,72,-4.1,2.9,-11.89,16.81,8.41,,
male,group D,high school,standard,none,89,87,79,,46,34,-20.1,-35.1,705.51,404.01,1232.01,,
female,group D,associate's degree,free/reduced,completed,42,61,58,,66,59,-0.1,-10.1,1.01,0.01,102.01,,
male,group C,some college,standard,completed,93,84,90,,89,87,22.9,17.9,409.91,524.41,320.41,,
female,group E,some high school,standard,completed,80,85,85,,42,61,-24.1,-8.1,195.21,580.81,65.61,,
female,group D,some college,standard,none,98,100,99,,93,84,26.9,14.9,400.81,723.61,222.01,,
male,group D,master's degree,standard,none,81,81,84,,80,85,13.9,15.9,221.01,193.21,252.81,,
female,group B,some high school,standard,completed,60,70,74,,98,100,31.9,30.9,985.71,1017.61,954.81,,
female,group B,associate's degree,free/reduced,completed,76,94,87,,81,81,14.9,11.9,177.31,222.01,141.61,,
male,group C,associate's degree,standard,completed,73,78,72,,60,70,-6.1,0.9,-5.49,37.21,0.81,,
female,group C,associate's degree,standard,completed,96,96,99,,76,94,9.9,24.9,246.51,98.01,620.01,,
female,group C,high school,standard,none,76,76,74,,73,78,6.9,8.9,61.41,47.61,79.21,,
male,group E,associate's degree,free/reduced,completed,91,73,80,,96,96,29.9,26.9,804.31,894.01,723.61,,
female,group C,some college,free/reduced,none,62,72,70,,76,76,9.9,6.9,68.31,98.01,47.61,,
male,group D,some high school,free/reduced,completed,55,59,59,,91,73,24.9,3.9,97.11,620.01,15.21,,
female,group B,some high school,free/reduced,completed,74,90,88,,62,72,-4.1,2.9,-11.89,16.81,8.41,,
male,group C,high school,standard,none,50,48,42,,55,59,-11.1,-10.1,112.11,123.21,102.01,,
male,group B,some college,standard,none,47,43,41,,74,90,7.9,20.9,165.11,62.41,436.81,,
male,group E,some college,standard,completed,81,74,71,,50,48,-16.1,-21.1,339.71,259.21,445.21,,
female,group E,associate's degree,standard,completed,65,75,77,,47,43,-19.1,-26.1,498.51,364.81,681.21,,
male,group E,some high school,standard,completed,68,51,57,,81,74,14.9,4.9,73.01,222.01,24.01,,
female,group D,high school,free/reduced,none,73,92,84,,65,75,-1.1,5.9,-6.49,1.21,34.81,,
male,group C,some college,standard,none,53,39,37,,68,51,1.9,-18.1,-34.39,3.61,327.61,,
female,group B,associate's degree,free/reduced,completed,68,77,80,,73,92,6.9,22.9,158.01,47.61,524.41,,
male,group A,some high school,free/reduced,none,55,46,43,,53,39,-13.1,-30.1,394.31,171.61,906.01,,
female,group C,some college,standard,completed,87,89,94,,68,77,1.9,7.9,15.01,3.61,62.41,,
male,group D,some high school,standard,none,55,47,44,,55,46,-11.1,-23.1,256.41,123.21,533.61,,
female,group E,some college,free/reduced,none,53,58,57,,87,89,20.9,19.9,415.91,436.81,396.01,,
male,group C,master's degree,standard,none,67,57,59,,55,47,-11.1,-22.1,245.31,123.21,488.41,,
male,group C,associate's degree,standard,none,92,79,84,,53,58,-13.1,-11.1,145.41,171.61,123.21,,
female,group B,some college,free/reduced,completed,53,66,73,,67,57,0.9,-12.1,-10.89,0.81,146.41,,
male,group D,associate's degree,standard,none,81,71,73,,92,79,25.9,9.9,256.41,670.81,98.01,,
male,group C,high school,free/reduced,none,61,60,55,,53,66,-13.1,-3.1,40.61,171.61,9.61,,
male,group D,bachelor's degree,standard,none,80,73,72,,81,71,14.9,1.9,28.31,222.01,3.61,,
female,group A,associate's degree,free/reduced,none,37,57,56,,61,60,-5.1,-9.1,46.41,26.01,82.81,,
female,group C,high school,standard,none,81,84,82,,80,73,13.9,3.9,54.21,193.21,15.21,,
female,group C,associate's degree,standard,completed,59,73,72,,37,57,-29.1,-12.1,352.11,846.81,146.41,,
male,group B,some college,free/reduced,none,55,55,47,,81,84,14.9,14.9,222.01,222.01,222.01,,
male,group D,associate's degree,standard,none,72,79,74,,59,73,-7.1,3.9,-27.69,50.41,15.21,,
male,group D,high school,standard,none,69,75,71,,55,55,-11.1,-14.1,156.51,123.21,198.81,,
male,group C,some college,standard,none,69,64,68,,72,79,5.9,9.9,58.41,34.81,98.01,,
female,group C,bachelor's degree,free/reduced,none,50,60,59,,69,75,2.9,5.9,17.11,8.41,34.81,,
male,group B,some college,standard,completed,87,84,86,,69,64,2.9,-5.1,-14.79,8.41,26.01,,
male,group D,some high school,standard,completed,71,69,68,,50,60,-16.1,-9.1,146.51,259.21,82.81,,
male,group E,some college,standard,none,68,72,65,,87,84,20.9,14.9,311.41,436.81,222.01,,
male,group C,master's degree,free/reduced,completed,79,77,75,,71,69,4.9,-0.1,-0.49,24.01,0.01,,
female,group C,some high school,standard,completed,77,90,85,,68,72,1.9,2.9,5.51,3.61,8.41,,
male,group C,associate's degree,free/reduced,none,58,55,53,,79,77,12.9,7.9,101.91,166.41,62.41,,
female,group E,associate's degree,standard,none,84,95,92,,77,90,10.9,20.9,227.81,118.81,436.81,,
male,group D,some college,standard,none,55,58,52,,58,55,-8.1,-14.1,114.21,65.61,198.81,,
male,group E,bachelor's degree,free/reduced,completed,70,68,72,,84,95,17.9,25.9,463.61,320.41,670.81,,
female,group D,some college,free/reduced,completed,52,59,65,,55,58,-11.1,-11.1,123.21,123.21,123.21,,
male,group B,some college,standard,completed,69,77,77,,70,68,3.9,-1.1,-4.29,15.21,1.21,,
female,group C,high school,free/reduced,none,53,72,64,,52,59,-14.1,-10.1,142.41,198.81,102.01,,
female,group D,some high school,standard,none,48,58,54,,69,77,2.9,7.9,22.91,8.41,62.41,,
male,group D,some high school,standard,completed,78,81,86,,53,72,-13.1,2.9,-37.99,171.61,8.41,,
female,group B,high school,standard,none,62,62,63,,48,58,-18.1,-11.1,200.91,327.61,123.21,,
male,group D,some college,standard,none,60,63,59,,78,81,11.9,11.9,141.61,141.61,141.61,,
female,group B,high school,standard,none,74,72,72,,62,62,-4.1,-7.1,29.11,16.81,50.41,,
female,group C,high school,standard,completed,58,75,77,,60,63,-6.1,-6.1,37.21,37.21,37.21,,
male,group B,high school,standard,completed,76,62,60,,74,72,7.9,2.9,22.91,62.41,8.41,,
female,group D,some high school,standard,none,68,71,75,,58,75,-8.1,5.9,-47.79,65.61,34.81,,
male,group A,some college,free/reduced,none,58,60,57,,76,62,9.9,-7.1,-70.29,98.01,50.41,,
male,group B,high school,standard,none,52,48,49,,68,71,1.9,1.9,3.61,3.61,3.61,,
male,group D,bachelor's degree,standard,none,75,73,74,,58,60,-8.1,-9.1,73.71,65.61,82.81,,
female,group B,some high school,free/reduced,completed,52,67,72,,52,48,-14.1,-21.1,297.51,198.81,445.21,,
female,group C,bachelor's degree,free/reduced,none,62,78,79,,75,73,8.9,3.9,34.71,79.21,15.21,,
male,group B,some college,standard,none,66,65,60,,52,67,-14.1,-2.1,29.61,198.81,4.41,,
female,group B,some high school,free/reduced,none,49,58,55,,62,78,-4.1,8.9,-36.49,16.81,79.21,,
female,group B,high school,standard,none,66,72,70,,66,65,-0.1,-4.1,0.41,0.01,16.81,,
female,group C,some college,free/reduced,none,35,44,43,,49,58,-17.1,-11.1,189.81,292.41,123.21,,
female,group A,some college,standard,completed,72,79,82,,66,72,-0.1,2.9,-0.29,0.01,8.41,,
male,group E,associate's degree,standard,completed,94,85,82,,35,44,-31.1,-25.1,780.61,967.21,630.01,,
female,group D,associate's degree,free/reduced,none,46,56,57,,72,79,5.9,9.9,58.41,34.81,98.01,,
female,group B,master's degree,standard,none,77,90,84,,94,85,27.9,15.9,443.61,778.41,252.81,,
female,group B,high school,free/reduced,completed,76,85,82,,46,56,-20.1,-13.1,263.31,404.01,171.61,,
female,group C,associate's degree,standard,completed,52,59,62,,77,90,10.9,20.9,227.81,118.81,436.81,,
male,group C,bachelor's degree,standard,completed,91,81,79,,76,85,9.9,15.9,157.41,98.01,252.81,,
female,group B,some high school,standard,completed,32,51,44,,52,59,-14.1,-10.1,142.41,198.81,102.01,,
female,group E,some high school,free/reduced,none,72,79,77,,91,81,24.9,11.9,296.31,620.01,141.61,,
female,group B,some college,standard,none,19,38,32,,32,51,-34.1,-18.1,617.21,1162.81,327.61,,
male,group C,associate's degree,free/reduced,none,68,65,61,,72,79,5.9,9.9,58.41,34.81,98.01,,
female,group C,master's degree,free/reduced,none,52,65,61,,19,38,-47.1,-31.1,1464.81,2218.41,967.21,,
female,group B,high school,standard,none,48,62,60,,68,65,1.9,-4.1,-7.79,3.61,16.81,,
female,group D,some college,free/reduced,none,60,66,70,,52,65,-14.1,-4.1,57.81,198.81,16.81,,
male,group D,high school,free/reduced,none,66,74,69,,48,62,-18.1,-7.1,128.51,327.61,50.41,,
male,group E,some high school,standard,completed,89,84,77,,60,66,-6.1,-3.1,18.91,37.21,9.61,,
female,group B,high school,standard,none,42,52,51,,66,74,-0.1,4.9,-0.49,0.01,24.01,,
female,group E,associate's degree,free/reduced,completed,57,68,73,,89,84,22.9,14.9,341.21,524.41,222.01,,
male,group D,high school,standard,none,70,70,70,,42,52,-24.1,-17.1,412.11,580.81,292.41,,
female,group E,associate's degree,free/reduced,none,70,84,81,,57,68,-9.1,-1.1,10.01,82.81,1.21,,
male,group E,some college,standard,none,69,60,54,,70,70,3.9,0.9,3.51,15.21,0.81,,
female,group C,associate's degree,standard,none,52,55,57,,70,84,3.9,14.9,58.11,15.21,222.01,,
male,group C,some high school,standard,completed,67,73,68,,69,60,2.9,-9.1,-26.39,8.41,82.81,,
male,group C,some high school,standard,completed,76,80,73,,52,55,-14.1,-14.1,198.81,198.81,198.81,,
female,group E,associate's degree,standard,none,87,94,95,,67,73,0.9,3.9,3.51,0.81,15.21,,
female,group B,some college,standard,none,82,85,87,,76,80,9.9,10.9,107.91,98.01,118.81,,
female,group C,some college,standard,none,73,76,78,,87,94,20.9,24.9,520.41,436.81,620.01,,
male,group A,some college,free/reduced,none,75,81,74,,82,85,15.9,15.9,252.81,252.81,252.81,,
female,group D,some college,free/reduced,none,64,74,75,,73,76,6.9,6.9,47.61,47.61,47.61,,
female,group E,high school,free/reduced,none,41,45,40,,75,81,8.9,11.9,105.91,79.21,141.61,,
male,group C,high school,standard,none,90,75,69,,64,74,-2.1,4.9,-10.29,4.41,24.01,,
male,group B,bachelor's degree,standard,none,59,54,51,,41,45,-25.1,-24.1,604.91,630.01,580.81,,
male,group A,some high school,standard,none,51,31,36,,90,75,23.9,5.9,141.01,571.21,34.81,,
male,group A,high school,free/reduced,none,45,47,49,,59,54,-7.1,-15.1,107.21,50.41,228.01,,
female,group C,master's degree,standard,completed,54,64,67,,51,31,-15.1,-38.1,575.31,228.01,1451.61,,
male,group E,some high school,standard,completed,87,84,76,,45,47,-21.1,-22.1,466.31,445.21,488.41,,
female,group C,high school,standard,none,72,80,83,,54,64,-12.1,-5.1,61.71,146.41,26.01,,
male,group B,some high school,standard,completed,94,86,87,,87,84,20.9,14.9,311.41,436.81,222.01,,
female,group A,bachelor's degree,standard,none,45,59,64,,72,80,5.9,10.9,64.31,34.81,118.81,,
male,group D,bachelor's degree,free/reduced,completed,61,70,76,,94,86,27.9,16.9,471.51,778.41,285.61,,
female,group B,high school,free/reduced,none,60,72,68,,45,59,-21.1,-10.1,213.11,445.21,102.01,,
female,group C,some high school,standard,none,77,91,88,,61,70,-5.1,0.9,-4.59,26.01,0.81,,
female,group A,some high school,standard,completed,85,90,92,,60,72,-6.1,2.9,-17.69,37.21,8.41,,
female,group D,bachelor's degree,free/reduced,none,78,90,93,,77,91,10.9,21.9,238.71,118.81,479.61,,
male,group E,some college,free/reduced,completed,49,52,51,,85,90,18.9,20.9,395.01,357.21,436.81,,
female,group B,high school,free/reduced,none,71,87,82,,78,90,11.9,20.9,248.71,141.61,436.81,,
female,group C,some high school,free/reduced,none,48,58,52,,49,52,-17.1,-17.1,292.41,292.41,292.41,,
male,group C,high school,standard,none,62,67,58,,71,87,4.9,17.9,87.71,24.01,320.41,,
female,group C,associate's degree,free/reduced,completed,56,68,70,,48,58,-18.1,-11.1,200.91,327.61,123.21,,
female,group C,some high school,standard,none,65,69,76,,62,67,-4.1,-2.1,8.61,16.81,4.41,,
